Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Community tags OPI ID,Community Tag category
City centre,city-centre,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cb418d2c358b6be4dbe0,false,false,Mon Dec 22 2025 22:50:41 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Location & Geography
Close to offices,close-to-offices,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0bceabd3748e4285c090,false,false,Tue Dec 23 2025 03:26:06 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Work & Business
Community centres,community-centres,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0a9cbdaffe211c6f8b0c,false,false,Tue Dec 23 2025 03:21:00 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Amenities & Convenience
Community focused,community-focused,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cc271069c762ccdf217c,false,false,Mon Dec 22 2025 22:54:31 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Lifestyle & Living
Corporate area,corporate-area,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0c03d03652a2ba71ee38,false,false,Tue Dec 23 2025 03:26:59 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Work & Business
Creekside,creekside,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cb6e68093ded5b194be3,false,false,Mon Dec 22 2025 22:51:26 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Location & Geography
Cycling & jogging tracks,cycling-jogging-tracks,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a09b613ef4e5c9baaec8c,false,false,Tue Dec 23 2025 03:17:10 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Outdoor & Recreation
Desert-edge,desert-edge,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cb658ded434eb1c63b6f,false,false,Mon Dec 22 2025 22:51:17 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Location & Geography
Digital nomads,digital-nomads,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0ce5617cfdc799d8361e,false,false,Tue Dec 23 2025 03:30:45 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Buyer Profile Tags
Dining & cafés,dining-cafes,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0a3d6168933fb1e3614a,false,false,Tue Dec 23 2025 03:19:25 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:08 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Amenities & Convenience
